[Shortcuts],Name,Shortcut,"Yes=0,Maybe=1",Notes,,
paste_at=Ctrl+Alt+V,paste_at,Ctrl+Alt+V,,,,
paste_columns_from_clipboard=none,paste_columns_from_clipboard,none,,,,
paste_frames=none,paste_frames,none,,,,
paste_into=none,paste_into,none,,,,
paste_layer_from_clipboard=none,paste_layer_from_clipboard,none,,,,
paste_layer_style=none,paste_layer_style,none,,,,
paste_new=Ctrl+Shift+N,paste_new,Ctrl+Shift+N,,,,
paste_shape_style=none,paste_shape_style,none,,,,
path-break-point=none,path-break-point,none,,,,
path-break-segment=none,path-break-segment,none,,,,
pathpoint-corner=none,pathpoint-corner,none,,,,
pathpoint-curve=none,pathpoint-curve,none,,,,
pathpoint-insert=Ins,pathpoint-insert,Ins,,,,
pathpoint-join=J,pathpoint-join,J,,,,
pathpoint-line=none,pathpoint-line,none,,,,
pathpoint-merge=none,pathpoint-merge,none,,,,
pathpoint-remove=Backspace,pathpoint-remove,Backspace,,,,
pathpoint-smooth=none,pathpoint-smooth,none,,,,
pathpoint-symmetric=none,pathpoint-symmetric,none,,,,
pathsegment-curve=Shift+C,pathsegment-curve,Shift+C,,,,
pathsegment-line=F,pathsegment-line,F,,,,
patterns=none,patterns,none,,,,
pin_to_timeline=none,pin_to_timeline,none,,,,
preserve_alpha=none,preserve_alpha,none,,,,
previous_favorite_preset=Ctrl+`,previous_favorite_preset,Ctrl+`,2,,,
previous_frame=none,previous_frame,none,,,,
previous_keyframe=none,previous_keyframe,none,,,,
previous_matching_keyframe=none,previous_matching_keyframe,none,,,,
previous_preset=/,previous_preset,/,,,,
previous_unfiltered_keyframe=none,previous_unfiltered_keyframe,none,,,,
quick_ungroup=Ctrl+Alt+G,quick_ungroup,Ctrl+Alt+G,,,,
recorder_export=none,recorder_export,none,,,,
recorder_record_toggle=none,recorder_record_toggle,none,,,,
reload_preset_action=none,reload_preset_action,none,,,,
remove_columns=none,remove_columns,none,,,,
remove_columns_and_pull=none,remove_columns_and_pull,none,,,,
remove_frames=none,remove_frames,none,,,,
remove_frames_and_pull=none,remove_frames_and_pull,none,,,,
remove_hold_column=none,remove_hold_column,none,,,,
remove_hold_frame=none,remove_hold_frame,none,,,,
remove_layer=Shift+Del,remove_layer,Shift+Del,,,,
remove_multiple_hold_columns=none,remove_multiple_hold_columns,none,,,,
remove_multiple_hold_frames=none,remove_multiple_hold_frames,none,,,,
remove_scalar_keyframe=none,remove_scalar_keyframe,none,,,,
remove_snapshot=none,remove_snapshot,none,,,,
rename_composition=none,rename_composition,none,,,,
render_animation=none,render_animation,none,,,,
render_animation_again=none,render_animation_again,none,,,,
reselect=Ctrl+Shift+D,reselect,Ctrl+Shift+D,,,,
reset_canvas_rotation=none,reset_canvas_rotation,none,,,,
reset_configurations=none,reset_configurations,none,,,,
reset_fg_bg=D,reset_fg_bg,D,,,,
resizeimagetolayer=none,resizeimagetolayer,none,,,,
resizeimagetoselection=none,resizeimagetoselection,none,,,,
rotateAllLayers=none,rotateAllLayers,none,,,,
rotateAllLayers180=none,rotateAllLayers180,none,,,,
rotateAllLayersCCW90=none,rotateAllLayersCCW90,none,,,,
rotateAllLayersCW90=none,rotateAllLayersCW90,none,,,,
rotateImage180=none,rotateImage180,none,,,,
rotateImageCCW90=none,rotateImageCCW90,none,,,,
rotateImageCW90=none,rotateImageCW90,none,,,,
rotateLayer180=none,rotateLayer180,none,,,,
rotateLayerCCW90=none,rotateLayerCCW90,none,,,,
rotateLayerCW90=none,rotateLayerCW90,none,,,,
rotate_canvas_left=Ctrl+[,rotate_canvas_left,Ctrl+[,,,,
rotate_canvas_right=Ctrl+],rotate_canvas_right,Ctrl+],,,,
rotateimage=none,rotateimage,none,,,,
rotatelayer=none,rotatelayer,none,,,,
ruler_pixel_multiple2=none,ruler_pixel_multiple2,none,,,,
rulers_track_mouse=none,rulers_track_mouse,none,,,,
save_groups_as_images=none,save_groups_as_images,none,,,,
save_incremental_backup=F4,save_incremental_backup,F4,2,,,
save_incremental_version=Ctrl+Alt+S,save_incremental_version,Ctrl+Alt+S,2,,,
save_node_as_image=none,save_node_as_image,none,,,,
save_vector_node_to_svg=none,save_vector_node_to_svg,none,,,,
scaleAllLayers=none,scaleAllLayers,none,,,,
select_all=Ctrl+A,select_all,Ctrl+A,2,,,
